ENSG00000170231,ENSG00000135069,ENSG00000137673,ENSG00000023892,ENSG00000085563,ENSG00000167766,ENSG00000177706,ENSG00000169902,ENSG00000072682,ENSG00000172716,label
4.03,7.57,4.10,6.48,5.87,6.72,3.73,4.34,3.31,6.13,0.00
3.93,9.08,2.76,2.97,2.99,8.40,5.71,5.40,4.32,10.10,1.00
3.47,9.43,2.86,2.69,2.73,7.61,3.85,4.45,6.79,7.86,0.00
3.70,7.48,2.77,3.48,3.13,7.08,8.70,6.70,9.66,7.97,0.00
3.68,8.71,9.68,3.79,6.12,8.56,10.63,6.33,9.06,7.99,0.00
8.54,6.21,11.39,4.97,3.16,7.78,3.38,5.81,8.47,3.77,0.00
4.21,6.85,7.34,5.85,3.77,8.21,3.43,3.33,7.15,4.09,0.00
3.56,6.90,2.81,3.22,2.88,8.77,7.59,6.01,9.40,4.91,0.00
3.68,8.30,2.80,2.99,2.93,9.09,3.33,6.10,4.91,2.85,0.00
4.74,9.23,2.66,3.29,3.19,9.06,7.01,5.58,5.85,4.58,0.00
3.73,9.76,2.86,2.63,3.09,3.10,6.05,5.25,8.78,3.29,0.00
3.45,7.69,3.00,3.54,2.82,8.61,3.33,5.91,5.37,6.83,0.00
5.26,7.38,2.91,3.81,3.49,7.74,6.67,5.36,5.06,3.33,0.00
5.32,8.99,2.97,3.13,2.86,8.21,3.46,5.18,7.09,2.90,0.00
4.71,8.05,3.03,2.92,2.81,6.47,3.47,5.05,7.40,2.91,0.00
4.14,8.00,7.92,3.31,3.27,9.32,5.08,7.05,9.20,8.03,0.00
9.00,9.68,2.91,3.14,3.16,7.07,5.87,5.71,6.06,3.18,0.00
4.18,8.41,2.80,3.69,3.18,6.65,8.88,6.65,9.47,3.50,0.00
3.61,8.91,9.09,3.14,3.23,8.62,8.86,6.08,8.44,3.25,0.00
3.52,7.52,4.24,5.68,3.08,8.38,5.64,5.13,7.81,7.74,0.00
3.73,8.62,6.31,3.54,2.99,8.92,7.03,6.34,8.16,4.92,0.00
3.30,7.32,11.48,3.78,3.22,7.38,7.31,4.45,7.63,6.84,0.00
4.03,6.81,3.08,2.94,3.13,6.66,6.05,3.90,9.12,3.24,0.00
5.06,8.95,8.08,4.85,2.90,8.94,7.99,5.95,10.20,7.26,0.00
3.89,6.12,2.99,4.31,3.10,7.66,10.39,8.00,10.81,6.36,1.00
8.48,6.11,4.04,3.87,5.71,9.50,5.68,6.55,10.60,6.12,0.00
8.01,8.70,2.86,3.36,3.12,7.79,7.52,5.68,7.38,2.97,0.00
6.78,8.49,2.79,7.11,2.98,8.68,3.67,5.14,3.02,8.09,0.00
7.38,8.50,5.29,2.74,5.85,9.34,7.91,6.89,10.45,6.52,0.00
6.28,9.26,4.19,3.71,3.55,7.66,6.53,5.70,9.06,6.93,0.00
6.35,9.99,2.80,2.81,2.80,9.06,3.22,6.24,6.38,2.69,0.00
3.27,8.72,2.83,4.19,3.01,8.10,6.80,5.04,6.69,7.59,0.00
8.19,7.55,8.94,3.90,7.05,6.51,4.37,6.18,9.43,8.38,0.00
7.12,9.19,6.51,2.91,7.59,2.83,7.19,5.79,9.45,5.92,1.00
3.56,7.99,2.94,3.46,3.09,4.65,3.65,6.57,6.94,3.20,0.00
4.09,9.24,3.03,3.55,3.12,7.96,6.13,5.32,7.17,3.01,0.00
3.87,9.95,2.90,3.08,3.09,7.11,7.08,6.27,10.04,2.76,0.00
4.20,7.67,2.91,3.17,3.24,7.48,8.97,6.91,9.65,6.79,0.00
4.31,7.99,7.34,2.84,4.69,8.56,6.94,6.62,7.05,6.61,0.00
3.75,9.35,2.72,3.05,3.20,9.07,3.31,6.56,8.89,7.99,0.00
4.67,8.96,11.13,3.51,3.21,7.44,9.32,7.55,9.84,3.64,0.00
4.88,8.28,11.64,3.68,2.80,7.43,7.40,5.36,8.56,5.04,0.00
3.86,8.36,2.98,3.38,4.70,3.88,7.57,7.70,8.89,4.01,0.00
4.48,8.51,2.81,3.55,3.17,5.20,3.28,4.94,6.90,2.84,0.00
4.03,6.52,7.19,5.95,3.26,8.96,5.96,4.55,7.91,6.79,0.00
3.79,8.86,3.33,4.97,4.50,7.61,8.05,6.57,9.34,2.79,0.00
5.16,7.14,2.97,5.75,3.09,5.96,3.61,6.24,9.26,3.63,0.00
4.19,8.82,3.32,4.38,2.89,5.91,7.07,6.91,10.32,2.71,0.00
3.66,9.14,3.09,6.73,3.08,7.92,5.67,3.21,3.04,8.15,0.00
3.86,9.55,3.10,5.92,3.77,8.19,3.59,3.44,8.22,2.97,0.00
3.72,9.31,3.03,7.37,2.90,8.54,3.93,3.09,3.03,7.82,0.00
4.83,8.07,2.96,7.67,3.16,8.35,3.87,3.29,2.90,8.59,0.00
3.91,9.50,2.95,5.28,3.04,7.92,3.97,4.13,7.63,2.82,0.00
3.13,4.91,3.09,5.80,2.80,3.43,3.46,4.76,7.41,7.81,0.00
3.86,7.65,3.36,3.35,3.31,9.23,6.65,6.11,9.26,2.90,1.00
3.95,8.72,12.11,2.91,3.10,7.10,8.49,5.78,8.88,2.98,1.00
4.26,7.04,2.84,3.85,3.01,7.98,9.58,6.89,10.53,7.70,0.00
3.48,8.42,2.73,3.06,2.93,3.00,3.41,5.59,9.26,5.55,0.00
3.32,8.34,3.10,4.79,2.92,5.06,5.73,7.64,8.96,4.46,0.00
7.48,8.29,3.44,2.55,4.00,8.57,9.50,7.55,11.31,6.88,0.00
3.34,8.21,4.25,2.89,3.70,6.70,3.48,6.76,9.80,2.75,0.00
3.30,8.19,4.44,2.98,3.13,8.90,10.95,7.84,11.02,7.25,0.00
3.29,7.18,3.00,2.82,2.95,7.80,10.00,8.39,11.87,7.35,0.00
3.63,8.94,2.91,2.88,2.95,7.71,8.28,6.53,9.42,8.31,0.00
5.20,9.62,3.13,3.29,3.27,9.13,3.76,3.33,8.28,2.98,0.00
8.82,10.20,7.54,2.94,2.87,6.92,4.07,4.60,7.95,2.75,0.00
3.28,10.62,3.22,3.16,2.96,9.27,10.46,7.56,11.75,6.37,0.00
3.64,9.41,2.93,8.00,3.27,8.97,3.70,3.40,2.92,6.22,0.00
4.53,10.34,3.19,5.27,4.67,7.62,3.64,4.13,5.54,7.38,0.00
3.68,7.65,3.45,5.05,2.96,2.98,7.49,6.32,10.70,4.12,0.00
3.48,10.20,2.97,6.83,3.05,8.74,8.10,5.71,5.82,8.30,0.00
5.61,9.73,8.04,2.90,3.11,3.29,5.83,6.55,9.41,3.05,0.00
3.94,8.30,2.87,3.24,3.00,7.77,3.57,4.58,5.70,3.87,0.00
4.68,6.90,3.08,4.26,3.01,8.20,3.57,3.67,4.24,3.15,0.00
3.58,9.70,3.04,5.84,3.45,6.94,3.35,5.37,7.71,6.92,0.00
5.74,9.65,2.85,5.57,2.99,8.89,3.52,4.94,4.54,3.05,0.00
3.99,8.86,4.22,5.77,3.07,8.84,8.86,7.20,9.83,7.74,0.00
3.84,9.66,3.26,6.43,3.02,8.87,3.65,3.03,4.40,4.30,0.00
3.81,8.61,2.98,3.70,9.68,3.02,5.34,6.59,8.66,3.05,0.00
3.51,9.70,2.90,8.25,3.10,8.57,3.37,3.51,7.03,8.70,0.00
3.60,9.10,3.12,7.63,3.00,3.18,6.64,3.07,3.01,8.02,0.00
3.76,8.62,9.11,4.67,2.80,6.51,3.82,6.65,8.69,6.15,0.00
3.68,8.44,3.11,3.86,3.22,8.24,4.42,3.03,8.52,3.09,0.00
3.89,3.82,2.91,7.30,4.67,8.40,3.49,3.20,2.94,3.22,0.00
4.13,9.73,2.79,3.43,3.52,8.77,10.75,7.60,9.82,6.12,0.00
3.93,6.76,2.84,2.89,2.97,8.24,5.42,7.27,10.36,3.19,0.00
4.55,8.55,2.89,5.95,3.03,8.09,3.47,5.20,3.05,7.70,0.00
3.91,4.08,4.21,6.31,2.94,6.89,3.60,3.30,2.86,9.26,0.00
5.83,7.67,8.56,6.32,3.20,7.23,3.65,3.99,3.06,7.20,0.00
4.14,9.58,2.86,2.87,2.90,8.58,5.38,4.69,9.32,7.24,0.00
3.48,9.41,3.04,6.78,8.49,6.68,3.65,3.67,3.57,7.72,0.00
3.71,9.20,3.12,6.05,3.08,3.20,3.49,3.27,4.30,2.91,0.00
6.36,10.38,2.85,3.01,3.14,6.48,8.52,7.44,8.58,2.98,0.00
3.38,10.29,3.03,2.85,2.70,8.06,6.37,4.95,8.14,2.64,0.00
3.71,9.35,2.98,3.55,3.77,8.42,7.15,5.52,7.20,2.79,0.00
3.55,7.81,2.78,2.99,2.88,7.70,10.32,7.92,9.93,6.58,0.00
3.61,8.03,3.07,5.54,3.73,7.02,3.59,4.18,8.14,2.92,0.00
7.70,9.20,3.08,5.93,2.95,8.32,3.43,5.50,3.87,3.60,0.00
6.45,10.15,8.56,5.40,3.24,7.67,3.64,3.36,3.11,8.20,1.00
3.80,8.48,3.34,3.75,3.12,8.31,10.28,7.16,10.16,5.38,0.00
4.06,6.30,2.76,7.31,3.06,8.18,5.49,3.95,3.76,4.17,0.00
3.61,4.07,2.79,6.48,2.95,3.35,3.49,5.20,8.16,2.91,0.00
4.61,9.44,2.89,5.08,2.88,9.08,3.90,4.64,3.24,3.04,0.00
5.01,8.52,2.96,8.19,3.31,7.71,3.60,3.05,2.84,8.15,0.00
3.51,6.07,2.97,3.42,2.95,8.43,10.24,7.01,10.38,2.92,0.00
4.06,9.02,2.88,7.13,3.14,6.23,4.07,3.52,2.99,3.56,0.00
4.21,6.95,3.26,3.49,3.06,8.25,8.75,7.18,5.18,6.69,0.00
3.82,5.99,3.17,7.80,5.71,8.07,3.69,3.11,3.17,8.18,0.00
3.44,10.79,2.92,3.31,2.94,8.70,5.87,5.47,9.02,6.50,1.00
3.80,6.72,3.05,6.96,3.01,6.35,4.55,3.24,3.29,8.27,0.00
6.09,8.68,2.85,4.92,4.21,8.30,3.72,3.23,3.34,7.68,0.00
4.54,6.86,2.89,3.40,3.03,8.28,10.68,6.99,9.98,2.95,0.00
3.90,8.38,2.85,5.72,4.42,2.96,3.75,3.31,7.47,8.24,0.00
3.42,10.30,2.89,7.83,2.91,9.01,4.04,4.55,2.98,7.39,0.00
6.37,9.34,9.98,3.56,2.92,7.29,4.96,5.44,8.66,7.93,0.00
3.73,9.28,3.05,7.01,3.08,8.51,4.19,6.61,3.38,8.65,0.00
4.15,4.27,2.91,7.43,3.15,8.77,5.82,5.08,4.57,3.23,0.00
5.31,8.90,11.20,3.87,3.15,8.35,6.48,5.05,9.59,2.77,0.00
9.67,9.44,3.74,2.86,2.97,5.29,7.45,4.25,9.67,3.22,0.00
4.44,8.32,3.10,4.52,3.50,7.59,3.65,4.25,10.33,5.56,0.00
4.12,8.81,2.82,5.87,7.04,7.35,3.50,3.93,6.05,3.10,0.00
5.51,9.91,3.04,5.85,3.10,9.59,3.68,5.22,8.80,2.88,0.00
3.63,4.29,3.04,6.53,2.79,8.33,6.89,3.73,3.61,7.98,0.00
3.61,7.16,3.00,8.42,4.11,9.07,3.50,4.20,3.42,8.55,0.00
3.10,10.68,4.00,6.86,3.03,6.89,7.04,4.19,5.39,7.62,0.00
3.61,9.61,2.88,4.26,3.09,3.15,3.44,6.89,10.41,5.73,1.00
3.66,8.99,2.94,4.41,2.89,8.12,6.52,3.28,9.00,2.90,0.00
4.24,10.87,3.03,6.71,3.07,7.25,9.26,3.52,3.02,3.59,0.00
3.49,9.61,2.95,5.87,2.83,8.87,4.52,6.53,5.73,8.89,0.00
5.79,9.42,3.01,5.57,2.91,7.51,3.91,4.97,9.24,7.36,0.00
4.12,8.10,8.76,3.02,3.10,6.99,7.86,5.14,6.86,7.71,0.00
5.06,9.46,3.00,3.65,3.26,5.72,3.48,2.98,7.48,3.04,0.00
7.19,7.81,2.93,2.89,7.03,8.30,6.91,6.93,6.68,3.21,1.00
3.81,7.94,2.82,5.62,2.95,8.92,6.07,3.24,3.79,8.80,0.00
3.35,6.97,2.96,3.51,4.48,9.08,11.19,6.92,10.60,5.68,0.00
3.08,9.49,2.93,3.16,3.07,9.82,8.94,6.86,10.31,2.92,0.00
3.25,8.36,3.02,6.08,3.05,8.33,7.56,6.08,6.01,8.32,0.00
4.24,9.21,3.04,2.67,3.21,8.85,8.91,6.23,10.66,7.74,0.00
3.66,9.84,3.08,3.77,3.19,7.82,7.03,6.82,8.30,3.80,0.00
7.93,9.10,9.39,3.68,3.21,9.12,3.47,4.30,8.60,3.11,0.00
4.93,8.17,2.88,4.18,8.76,6.69,6.61,6.51,7.43,2.91,1.00
7.66,7.82,2.69,3.77,2.92,9.71,5.52,5.89,6.17,2.88,0.00
4.55,7.76,2.96,3.29,3.14,6.01,6.73,5.68,7.00,5.32,0.00
7.16,6.47,3.46,4.29,2.98,7.23,8.71,4.29,8.93,5.24,1.00
6.84,6.71,2.69,3.17,2.95,5.98,4.06,4.54,8.39,3.14,0.00
3.83,7.02,2.96,3.34,3.17,7.21,6.54,6.69,5.91,7.68,0.00
5.44,6.78,3.81,3.09,2.90,8.37,6.36,7.07,8.87,3.05,0.00
5.82,4.17,2.98,6.33,3.54,3.07,3.70,5.29,4.17,3.58,0.00
4.29,9.62,2.81,4.66,2.97,9.19,6.16,4.78,7.64,2.78,0.00
3.56,7.41,3.01,7.62,2.98,8.54,4.06,3.42,3.47,7.86,0.00
5.64,7.44,10.91,6.35,3.25,7.07,4.49,5.75,3.07,2.86,0.00
4.40,9.14,2.98,5.53,3.09,7.17,3.51,4.39,8.80,2.93,0.00
3.64,9.47,10.09,6.30,3.37,8.89,3.29,5.75,5.02,4.26,0.00
4.06,9.69,2.85,7.49,3.34,9.17,3.46,3.16,3.28,7.21,0.00
3.51,9.09,2.84,6.98,2.97,8.38,3.36,4.12,6.61,8.68,0.00
3.94,7.44,2.87,3.28,2.98,6.21,7.77,6.42,9.46,2.74,0.00
3.60,8.52,3.15,5.23,3.10,2.92,7.14,3.01,4.16,7.18,0.00
3.32,8.31,3.28,3.21,5.69,9.13,5.12,8.60,11.15,6.77,0.00
4.05,9.60,2.84,3.37,3.04,9.92,8.21,6.44,9.17,6.48,0.00
3.69,9.25,3.19,7.31,2.93,7.39,6.94,3.84,7.21,6.52,1.00
5.09,10.24,2.96,4.01,3.13,7.13,4.11,6.12,9.52,7.65,0.00
3.01,9.48,2.89,4.54,2.91,8.57,6.22,6.23,10.25,7.99,0.00
4.18,9.66,3.30,5.01,3.11,3.04,5.16,3.88,9.32,3.00,0.00
3.41,4.17,2.88,2.88,2.89,8.63,10.46,6.46,9.96,2.95,1.00
3.95,9.34,2.93,2.90,6.56,8.81,8.72,8.96,10.16,6.20,0.00
3.42,8.73,2.98,4.02,2.94,9.07,9.82,7.69,10.33,6.60,0.00
3.53,7.96,2.84,3.84,4.16,8.90,10.38,7.33,10.35,6.41,0.00
3.85,4.31,5.23,4.32,3.09,8.20,5.04,5.96,9.47,3.00,0.00
3.89,7.37,5.10,3.60,7.86,9.59,8.06,6.56,10.55,5.72,1.00
3.75,9.82,3.46,4.10,2.80,6.61,4.97,5.85,8.61,2.87,0.00
9.59,7.41,3.08,4.44,4.72,5.84,3.44,5.36,3.06,3.26,0.00
8.69,9.05,3.02,5.29,3.73,8.48,3.37,4.19,6.35,2.88,0.00
3.38,10.10,10.21,7.10,3.32,3.35,3.57,5.45,4.13,3.25,0.00
4.41,8.22,3.07,5.57,4.20,9.34,3.22,4.44,8.23,6.74,0.00
4.87,8.64,2.79,3.31,2.87,7.60,7.39,5.81,8.40,4.68,0.00
4.38,9.68,2.98,3.87,10.75,5.63,4.56,3.66,9.53,3.09,1.00
4.75,9.55,2.73,6.90,6.89,8.82,3.65,3.31,3.12,7.01,0.00
3.46,11.03,2.95,3.38,3.08,6.18,10.98,5.58,8.71,5.98,0.00
9.89,9.20,2.89,6.97,4.22,7.42,3.62,4.08,3.23,7.50,0.00
6.21,9.58,9.57,5.85,4.55,8.03,3.66,5.12,4.82,6.10,0.00
4.15,9.38,3.20,3.69,2.87,8.44,7.21,6.47,7.74,3.38,0.00
3.75,9.36,9.52,3.89,3.03,8.96,5.25,4.52,8.11,3.37,0.00
6.53,8.84,6.74,4.35,3.19,2.64,8.26,5.96,10.55,7.24,0.00
3.45,7.50,3.18,5.01,3.05,8.40,3.98,5.06,5.09,5.35,0.00
3.59,8.29,2.99,7.22,3.24,8.01,3.61,5.31,2.69,8.37,0.00
3.53,8.65,2.81,3.29,2.94,8.71,3.61,4.82,9.77,4.49,0.00
8.61,7.90,3.02,5.18,5.38,8.90,3.58,5.24,3.00,3.55,0.00
5.98,7.77,3.59,2.93,3.39,4.68,9.27,8.10,9.41,5.53,0.00
3.57,9.09,3.15,5.66,3.10,7.47,3.62,5.40,6.99,8.44,0.00
4.73,8.34,3.10,3.52,3.74,8.32,8.69,8.35,8.17,8.10,1.00
7.55,8.41,2.97,7.12,5.29,3.98,4.14,4.87,2.92,5.57,0.00
7.82,7.05,2.79,3.23,2.99,8.52,3.43,6.11,8.25,8.25,0.00
4.09,8.71,2.86,3.59,3.13,7.43,3.73,6.10,6.43,3.00,0.00
3.45,8.29,3.12,6.21,2.94,8.99,5.88,3.74,5.08,8.35,0.00
4.92,9.36,3.13,7.60,3.23,8.35,7.78,4.02,7.52,8.32,0.00
3.74,7.86,2.87,4.19,3.18,8.89,8.05,4.16,5.95,3.74,0.00
7.40,8.69,2.88,2.66,3.29,4.83,6.11,3.82,8.82,5.97,0.00
3.71,8.47,2.86,3.08,3.47,7.70,9.00,6.18,9.44,7.72,0.00
4.33,6.52,2.98,3.37,5.16,5.87,10.92,5.81,9.37,3.64,0.00
5.37,8.24,2.98,5.78,3.15,3.22,4.08,5.84,8.94,2.90,0.00
4.13,9.32,2.79,4.29,3.05,9.33,8.34,6.81,8.18,2.95,0.00
5.94,7.25,8.57,4.96,2.89,6.85,9.16,6.33,10.27,6.98,0.00
3.71,10.42,2.98,3.72,3.22,6.89,3.46,7.14,8.93,3.04,0.00
5.57,8.31,2.87,3.44,3.07,7.94,8.04,5.00,5.48,8.96,0.00
3.73,8.81,2.84,2.98,2.99,8.84,8.68,7.39,9.57,8.19,0.00
3.81,9.24,2.87,3.34,3.54,6.99,9.92,8.84,11.26,3.22,0.00
3.87,9.13,2.88,4.71,2.77,10.20,7.13,5.31,7.01,3.01,0.00
5.53,8.74,3.11,4.63,3.22,2.99,7.27,6.24,8.86,4.80,0.00
4.68,5.58,5.20,5.43,2.96,2.85,6.06,4.79,8.73,4.55,0.00
4.14,9.98,3.11,5.60,3.07,2.90,6.32,5.09,8.68,3.05,0.00
3.86,8.44,3.70,5.26,3.00,6.41,7.94,5.64,8.40,3.16,0.00
3.59,6.33,2.96,2.63,4.56,10.01,9.75,6.18,9.08,3.21,1.00
8.64,8.21,2.92,4.75,3.14,7.20,3.61,5.03,5.51,6.56,0.00
4.05,8.68,2.90,3.29,2.96,8.11,5.53,5.85,10.61,9.04,0.00
3.20,10.99,2.79,3.19,2.85,8.37,5.33,5.53,8.05,9.23,0.00
3.07,9.22,2.78,3.76,3.15,8.73,7.13,5.24,4.64,6.73,0.00
6.07,9.15,2.81,3.07,3.01,7.07,6.13,5.06,9.67,8.74,0.00
4.00,7.69,3.01,3.02,3.07,8.23,4.40,4.67,4.40,8.76,1.00
3.57,9.83,2.80,3.66,3.04,8.25,6.25,5.07,7.98,7.66,0.00
3.94,8.27,3.04,3.04,2.89,7.22,6.60,5.63,6.75,9.00,0.00
3.46,9.84,3.08,3.26,3.03,7.54,5.84,5.12,6.78,8.82,1.00
4.02,9.67,3.22,3.61,2.97,6.85,6.61,4.47,8.16,9.63,0.00
3.96,8.62,3.08,3.11,3.36,7.04,7.33,6.25,5.63,2.81,0.00
8.16,8.98,2.85,2.95,6.88,7.62,4.38,6.58,6.59,2.98,0.00
8.27,7.88,2.86,3.11,3.01,6.66,8.33,5.95,5.78,3.04,0.00
7.23,10.09,2.93,3.38,2.96,7.66,5.57,5.25,9.98,8.62,0.00
3.88,3.73,2.96,2.90,3.29,2.83,7.04,6.62,8.70,2.84,0.00
4.46,7.78,3.05,3.23,3.16,9.74,3.37,4.97,6.03,3.34,0.00
3.56,6.85,2.88,3.65,2.80,8.49,3.39,5.25,6.86,3.15,0.00
3.62,9.14,2.89,3.47,3.05,8.27,6.98,4.79,6.87,2.98,0.00
4.43,9.12,2.94,4.85,2.94,6.36,5.84,5.61,7.15,8.35,0.00
4.03,8.01,2.92,6.63,3.22,8.72,4.27,5.51,3.88,8.49,0.00
3.65,10.05,2.88,6.03,3.22,7.89,9.48,4.82,6.27,6.67,0.00
3.85,3.82,2.88,7.60,3.32,8.25,3.91,3.18,3.41,8.33,0.00
5.49,9.52,3.07,5.05,3.29,7.62,3.64,4.77,5.84,2.98,0.00
5.15,9.75,2.83,7.38,2.92,7.99,3.58,4.42,5.77,4.35,0.00
3.76,7.82,10.10,5.85,2.97,6.60,3.82,4.06,8.37,3.32,0.00
4.31,7.84,3.00,3.69,3.10,8.06,6.74,5.29,4.62,2.92,0.00
6.36,7.84,3.25,4.94,3.09,8.10,3.66,4.76,8.42,3.59,0.00
6.13,5.79,3.01,6.06,3.30,8.21,3.79,3.68,4.45,7.20,0.00
4.47,6.65,7.76,6.38,3.34,7.62,4.07,4.84,3.11,7.20,0.00
3.56,9.93,2.93,5.44,6.17,6.83,3.68,3.91,6.54,3.37,0.00
3.46,8.34,2.98,6.51,3.20,6.42,3.49,3.31,5.91,3.11,0.00
5.95,7.79,2.84,4.26,3.46,6.91,3.44,4.76,4.71,6.91,0.00
7.87,6.40,3.02,7.28,2.97,5.89,3.91,3.58,6.95,7.42,0.00
4.30,9.45,3.00,4.86,3.60,9.14,3.58,4.85,4.18,7.69,0.00
4.46,8.39,2.95,7.14,3.61,6.49,3.91,3.41,3.93,3.41,0.00
4.41,10.43,2.99,7.70,3.32,8.82,3.57,3.89,7.16,3.19,0.00
3.71,7.80,2.94,7.35,3.34,8.90,3.51,4.86,6.67,8.23,0.00
3.79,8.71,5.01,6.16,4.87,7.12,3.66,4.41,6.62,4.03,0.00
4.01,8.76,2.97,7.36,3.44,7.52,7.42,3.35,3.40,7.59,0.00
3.68,7.11,3.00,5.56,3.43,4.03,3.96,4.94,7.28,6.16,0.00
3.48,7.07,3.35,3.01,2.86,9.89,6.18,5.12,5.86,8.15,0.00
4.31,6.96,3.07,3.32,3.22,8.95,3.42,4.08,7.14,6.53,0.00
3.51,7.68,3.00,6.42,3.19,7.96,5.21,3.20,3.97,7.08,0.00
8.62,8.90,2.84,5.73,3.12,7.93,3.78,3.40,3.31,8.37,0.00
5.05,9.68,2.92,6.10,5.25,8.91,3.62,3.35,3.45,7.76,0.00
5.23,7.47,3.01,4.61,4.67,8.58,3.70,4.02,9.27,7.43,0.00
3.73,4.24,3.38,6.87,3.06,8.47,3.56,3.81,2.87,7.74,0.00
7.56,9.89,3.17,6.05,3.38,7.03,4.04,4.57,8.46,3.40,0.00
4.50,8.80,2.99,5.29,3.55,7.25,3.59,4.83,2.74,4.35,0.00
4.77,8.41,3.02,6.31,2.84,8.52,3.79,3.56,4.62,3.18,0.00
4.77,7.19,2.76,6.99,3.74,8.98,3.77,4.03,2.99,3.28,0.00
8.90,7.48,3.04,5.41,3.81,9.16,3.70,5.10,3.03,7.95,0.00
5.24,8.93,3.29,2.88,3.16,3.27,3.64,4.53,9.34,6.93,0.00
4.04,8.62,2.91,6.96,3.37,2.80,3.63,4.05,8.09,6.69,0.00
4.09,9.39,3.05,6.01,3.65,7.07,3.78,3.24,6.90,7.07,0.00
