100505715_at,100506965_at,10129_at,10202_at,10643_at,10974_at,1303_at,1380_at,1545_at,170712_at,1917_at,2207_at,2533_at,2534_at,2627_at,283120_at,3488_at,387914_at,3915_at,53335_at,54742_at,56271_at,56605_at,5672_at,57007_at,5728_at,57407_at,58480_at,5918_at,64092_at,6446_at,793_at,79652_at,81618_at,84267_at,8910_at,90141_at,9603_at,9886_at,9966_at,label
5.69,8.23,6.32,10.36,9.91,11.68,4.34,4.40,5.02,3.55,9.00,4.80,3.68,4.56,8.11,4.70,3.94,3.56,9.92,6.63,4.20,8.61,6.57,4.72,3.85,8.72,9.63,10.14,3.90,3.66,4.69,4.59,3.74,8.14,10.09,11.37,8.96,4.57,6.10,5.92,1.00
7.02,7.38,3.96,4.78,10.25,9.62,7.46,3.73,4.30,3.97,11.67,4.96,3.74,7.58,6.74,4.64,4.03,3.72,9.01,5.75,4.56,4.16,5.96,7.93,4.07,9.06,9.39,4.27,6.38,3.93,11.26,4.97,3.81,9.53,8.38,10.55,7.92,5.17,3.70,4.07,1.00
5.71,7.48,4.45,4.90,9.97,4.66,4.65,4.10,4.33,3.89,7.67,4.81,3.81,7.17,4.45,4.34,4.06,3.61,9.90,10.63,4.02,4.12,8.52,5.06,3.96,9.99,9.17,4.32,4.27,3.88,7.28,3.78,3.84,9.32,5.22,4.51,7.48,3.59,6.99,4.37,1.00
5.69,5.18,4.13,5.39,10.44,7.50,8.71,3.76,4.29,3.62,4.34,4.53,3.87,9.36,5.11,4.62,5.70,8.21,10.65,7.93,7.44,3.90,5.72,5.41,3.74,8.20,9.63,4.13,5.85,6.51,12.32,3.78,4.01,7.52,8.56,6.30,8.99,6.04,4.79,5.59,0.00
6.82,4.39,3.90,5.49,10.87,4.53,6.28,3.87,4.47,9.89,8.66,4.77,3.64,6.52,6.39,4.69,4.63,3.65,11.00,4.54,3.94,3.93,6.22,9.11,4.15,4.52,10.32,4.84,3.99,3.74,10.28,3.72,4.20,9.07,4.82,9.48,7.37,7.66,9.46,4.17,0.00
6.72,6.26,3.90,5.71,10.26,4.75,4.81,3.64,7.69,3.50,7.91,5.29,5.31,4.51,6.80,6.99,4.23,3.37,10.71,4.60,4.67,4.44,5.79,4.88,8.63,8.34,9.13,7.86,7.45,3.96,9.37,3.61,3.82,8.69,9.61,11.19,8.74,5.42,6.87,6.16,1.00
7.12,6.95,3.69,5.67,10.94,4.45,5.27,3.51,5.04,3.63,5.25,5.21,3.75,5.55,4.00,3.88,4.59,5.23,9.64,4.65,4.42,10.70,5.88,5.73,4.76,8.29,10.40,4.91,4.26,3.81,9.26,3.63,3.84,11.18,8.43,11.14,8.06,4.82,6.95,4.18,1.00
8.10,7.67,4.07,4.48,9.34,4.20,4.49,3.86,4.01,3.84,4.71,4.90,9.20,9.78,3.80,10.24,4.11,9.72,4.70,4.53,3.92,8.52,4.84,4.48,6.95,11.17,9.22,10.00,4.32,11.34,4.60,3.77,7.16,10.01,5.42,4.52,7.39,3.72,3.94,4.53,1.00
5.86,8.05,3.98,9.91,9.92,4.02,4.27,4.23,4.04,4.05,4.31,5.51,3.82,7.95,4.25,4.39,3.96,3.43,8.09,5.74,3.99,4.40,5.98,5.15,6.47,9.87,4.82,4.47,4.09,3.94,12.99,3.80,4.50,8.61,7.78,10.05,8.17,8.17,3.96,4.55,1.00
6.20,7.13,3.90,10.30,10.67,4.21,4.41,3.88,4.20,3.75,10.27,5.14,3.96,5.50,3.98,5.74,4.04,3.43,9.22,4.60,4.15,3.85,5.24,5.21,3.89,7.63,9.13,4.95,4.21,3.70,4.50,3.54,4.26,10.10,4.88,12.29,9.49,5.62,4.20,4.56,0.00
8.84,3.58,3.93,7.63,10.71,4.35,4.44,3.89,6.11,3.50,10.61,5.04,3.73,5.25,8.75,5.90,3.96,3.52,10.95,5.37,3.98,4.21,6.13,5.03,4.21,7.82,8.85,5.50,4.07,3.74,5.51,4.05,4.00,8.65,9.95,9.35,7.59,7.17,8.76,4.46,1.00
5.96,7.05,3.81,4.58,10.61,4.66,4.27,10.61,11.05,3.81,9.69,5.32,3.66,10.49,3.84,4.32,4.02,3.59,9.17,5.96,4.04,6.53,8.96,4.41,9.34,10.05,9.67,4.03,4.32,10.37,5.67,3.75,6.31,8.42,9.13,10.73,8.15,6.14,3.74,4.43,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
5.66,8.08,4.30,4.57,10.81,3.95,4.48,5.11,4.10,3.71,4.88,4.64,3.75,7.27,4.51,4.40,4.03,4.11,8.25,10.17,3.96,4.19,7.12,5.08,4.63,8.84,9.91,3.89,4.15,6.91,5.14,3.91,4.02,5.54,5.26,10.01,7.75,4.17,3.71,4.43,0.00
7.47,3.67,4.09,13.39,10.52,5.60,8.12,3.99,9.62,9.05,12.08,4.76,3.90,5.57,5.50,6.92,10.24,5.76,11.12,4.56,6.12,4.34,6.07,5.05,4.69,6.80,10.78,5.14,9.34,3.99,7.26,3.73,3.91,9.21,4.79,9.09,9.45,4.36,3.97,4.21,0.00
6.66,9.63,7.67,13.32,10.66,4.93,4.27,3.88,4.10,3.60,4.49,5.89,3.70,4.12,7.42,4.45,4.01,3.69,9.81,4.63,4.26,3.88,5.12,5.13,4.17,8.13,4.99,5.96,4.22,3.94,7.72,3.85,4.64,9.09,10.06,10.46,8.78,7.45,9.93,4.17,1.00
7.34,5.59,3.76,9.36,11.20,8.54,6.64,3.75,9.22,3.38,8.75,5.07,4.05,4.06,4.73,4.42,4.18,4.06,10.21,6.02,8.27,4.01,4.29,5.77,4.20,8.54,9.98,4.41,4.07,4.43,11.72,4.04,4.23,8.06,9.70,7.32,8.62,8.27,4.42,4.68,1.00
5.49,6.26,4.05,6.19,8.95,10.50,8.61,3.73,10.48,3.62,6.34,5.07,3.90,8.56,9.28,4.11,4.00,7.94,9.98,5.06,4.37,5.90,4.43,11.12,6.05,8.12,7.96,3.94,6.58,4.69,8.45,7.59,4.10,7.37,9.31,10.86,8.61,8.02,5.59,4.15,0.00
5.99,7.92,4.69,6.92,12.11,4.26,4.56,4.04,6.34,3.70,11.32,5.09,3.82,7.69,4.89,4.28,8.66,10.21,10.15,4.75,4.55,4.08,5.50,5.01,4.51,8.77,9.88,6.09,6.82,3.79,11.51,3.92,4.55,9.24,8.81,10.61,9.44,8.74,7.06,4.24,1.00
7.04,7.76,4.70,5.51,4.25,12.50,5.81,3.74,7.76,3.64,11.16,5.27,3.74,3.98,9.34,4.41,10.65,7.68,8.77,4.65,4.24,5.79,6.03,4.81,4.45,8.43,10.30,6.84,4.46,4.06,5.03,4.05,3.96,7.94,9.66,7.16,9.70,4.75,4.86,4.56,0.00
6.94,5.03,4.12,5.69,10.28,4.59,4.66,3.76,7.50,3.75,8.81,4.85,3.77,4.26,7.00,4.04,4.09,3.52,9.71,4.44,3.99,4.70,4.76,7.74,3.91,9.43,10.56,8.38,13.64,3.86,8.88,4.54,4.22,8.49,8.78,11.67,10.07,9.31,3.53,6.57,1.00
7.49,8.62,4.43,5.06,11.29,4.03,6.80,3.81,4.44,3.61,11.48,4.86,3.76,7.08,4.43,4.23,4.52,4.25,11.28,5.46,4.21,8.57,4.98,5.54,4.34,9.66,4.66,7.50,4.17,3.90,10.93,3.68,4.27,10.39,7.38,10.85,8.50,5.89,8.15,4.18,1.00
5.64,6.45,6.11,5.71,10.28,4.51,4.13,4.38,5.83,3.54,4.57,10.20,6.80,5.46,3.93,4.08,4.04,3.54,9.11,7.54,4.61,8.07,8.04,4.30,6.69,9.24,9.73,4.14,4.09,11.53,4.47,3.78,3.84,7.69,8.12,4.31,7.82,5.69,4.25,4.15,1.00
6.92,3.86,7.07,7.99,10.36,4.16,5.11,3.81,4.25,3.85,4.10,4.85,3.81,8.84,4.26,4.58,4.11,3.65,9.83,9.26,4.10,4.27,8.35,5.06,7.95,7.75,10.73,4.45,4.27,3.94,7.51,4.61,3.66,9.03,8.93,9.20,8.10,6.55,9.21,4.44,1.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
7.69,7.70,4.04,9.61,9.32,4.09,7.39,4.07,10.45,6.44,11.52,4.53,3.68,7.35,7.25,4.56,4.01,3.81,9.91,4.78,4.13,8.31,6.93,8.69,6.30,9.77,10.48,6.13,5.32,3.88,9.16,7.55,4.09,9.41,9.62,9.42,8.66,6.86,5.88,8.56,0.00
4.95,4.37,3.95,5.89,10.84,8.86,6.52,3.85,8.06,3.60,5.24,4.84,4.34,6.02,8.84,8.45,4.99,7.67,10.91,6.74,9.34,4.36,5.31,7.82,8.82,8.58,9.24,4.22,7.51,3.96,8.85,4.88,4.20,8.71,8.35,11.73,8.14,6.12,5.18,5.50,0.00
5.20,7.36,5.92,4.37,10.61,4.54,10.09,3.67,4.42,3.42,4.10,5.33,3.57,8.48,10.49,4.52,6.40,4.03,11.91,4.52,3.93,4.84,5.44,4.86,4.62,8.20,4.97,3.77,4.16,4.00,8.62,3.81,4.18,9.00,8.77,11.76,7.27,4.23,8.39,4.29,0.00
8.58,9.62,4.35,4.46,12.09,4.53,4.26,3.67,5.28,3.77,10.29,4.63,3.67,6.85,3.81,5.15,4.13,4.58,9.55,5.75,4.02,11.32,5.56,4.79,4.09,10.24,10.33,5.84,6.45,3.86,7.65,3.84,3.93,9.66,8.20,8.96,8.77,5.62,7.62,4.34,1.00
6.32,7.24,7.40,4.51,11.55,4.37,4.77,4.06,4.32,3.55,4.93,4.66,3.69,6.97,4.19,4.37,4.11,3.66,7.78,11.20,4.10,4.60,8.32,3.95,5.32,10.71,9.82,4.24,3.86,5.14,6.90,4.00,3.83,8.01,8.97,10.62,8.08,6.05,3.90,4.86,1.00
7.53,6.76,6.32,9.77,10.84,4.27,4.31,9.83,3.96,3.45,4.62,4.93,3.72,8.66,4.30,4.62,4.18,3.52,8.65,9.16,4.15,4.12,8.72,5.07,8.14,10.41,4.77,3.86,4.26,10.06,7.41,3.94,4.27,6.60,7.39,9.77,7.74,5.18,3.65,4.72,0.00
7.53,5.32,3.93,8.07,9.56,4.51,7.37,3.87,4.40,3.96,10.24,5.26,5.12,5.53,4.69,5.75,4.08,6.37,11.02,4.42,6.66,6.57,5.82,7.48,3.97,7.51,10.04,5.71,5.72,3.84,7.37,10.18,4.66,10.67,9.07,8.86,9.67,8.25,3.90,8.15,0.00
6.72,6.36,4.22,4.18,10.94,4.34,7.97,3.88,4.28,3.73,4.72,5.18,3.79,7.89,8.09,4.00,4.03,5.05,10.20,4.70,9.75,7.97,5.57,9.41,3.79,8.19,9.42,3.84,4.99,4.56,10.93,4.04,8.43,8.63,5.38,10.43,8.63,7.64,7.04,4.51,0.00
6.19,3.93,4.48,5.82,11.31,9.77,6.63,4.03,9.03,3.49,4.45,4.88,3.70,7.09,4.08,4.54,4.07,3.82,11.32,4.55,4.51,10.39,6.89,4.99,3.80,8.61,8.87,3.79,8.00,3.95,9.28,3.78,3.60,8.36,9.48,11.83,8.02,8.77,6.39,4.28,1.00
6.91,6.32,6.49,4.92,9.47,4.42,4.45,4.00,3.96,3.82,4.75,7.20,8.48,9.17,7.34,5.39,4.04,3.74,8.37,7.94,4.02,11.89,4.62,5.24,4.19,9.49,10.15,7.25,4.05,12.34,6.54,8.31,4.20,7.71,9.23,4.80,7.41,6.80,4.77,4.21,1.00
8.00,4.03,5.73,6.19,10.37,4.13,4.94,4.17,10.14,3.63,5.82,4.74,3.89,7.41,3.67,3.94,4.90,8.73,10.88,8.80,5.23,8.84,6.60,4.46,6.01,8.90,9.85,4.77,4.19,3.93,8.83,3.77,4.02,11.15,4.55,10.33,9.06,8.67,8.06,4.29,1.00
6.73,7.93,4.12,6.72,10.32,4.32,4.87,3.75,3.96,4.39,5.64,5.58,4.52,8.57,4.75,5.26,3.89,8.93,10.11,5.04,4.24,8.17,5.42,4.73,3.70,8.18,9.42,4.09,4.21,3.75,12.98,3.81,3.99,9.92,9.86,11.03,7.45,6.26,7.32,4.15,1.00
5.57,8.89,4.14,5.43,11.10,4.48,4.49,3.86,4.13,3.65,6.03,4.62,3.88,4.60,3.90,5.12,4.19,3.60,9.65,4.83,4.22,10.35,5.58,9.83,4.20,8.01,10.17,4.56,4.24,3.77,5.76,3.74,4.02,10.38,4.95,9.75,9.44,9.02,10.30,3.86,1.00
7.70,7.89,4.04,4.52,4.11,4.42,11.72,3.77,6.24,3.76,4.84,5.28,3.72,4.73,4.16,8.63,8.04,3.74,9.97,4.65,4.03,4.19,4.31,4.70,4.01,8.15,9.95,4.93,5.95,3.89,5.10,3.75,4.47,8.21,9.37,10.57,8.73,3.55,4.80,5.05,0.00
6.23,5.09,4.60,6.46,11.68,4.14,5.04,3.67,7.08,7.43,6.16,5.06,4.01,6.50,7.22,4.14,3.83,3.59,9.98,4.43,5.61,9.18,6.52,5.25,8.03,7.81,7.37,3.74,4.08,3.85,9.81,3.51,3.91,8.86,7.86,11.55,8.85,8.53,4.37,5.16,0.00
7.83,7.38,3.74,4.49,4.21,4.29,6.82,3.79,11.30,3.68,4.82,5.36,3.78,7.25,9.70,4.39,5.24,4.07,10.81,4.74,4.66,4.19,5.57,5.19,8.41,8.40,4.96,8.84,7.36,3.93,9.27,3.92,4.46,9.83,9.24,10.71,7.63,3.67,7.22,4.49,0.00
5.18,6.55,3.91,5.06,9.45,4.42,9.66,3.53,8.70,3.71,10.63,4.60,3.58,7.94,6.08,4.30,4.34,3.40,10.88,4.58,4.18,9.99,5.35,9.04,5.05,7.17,9.03,3.87,8.58,3.97,10.04,3.76,3.74,9.56,8.60,11.43,9.08,7.32,6.65,4.27,0.00
7.26,6.87,5.71,8.71,11.56,4.68,10.06,3.93,10.72,3.52,11.44,4.67,3.81,6.94,8.64,4.32,8.31,3.34,10.99,5.70,6.49,4.11,6.58,8.16,4.26,5.02,10.08,5.51,4.20,4.12,9.44,3.59,4.10,9.60,6.28,11.37,8.59,6.93,8.61,4.24,0.00
5.26,7.10,3.81,11.20,9.54,10.48,6.29,3.92,8.85,3.66,5.43,4.92,3.79,5.35,7.74,4.43,4.09,3.80,9.70,6.48,9.63,4.23,5.83,5.48,4.28,9.24,10.50,4.56,4.52,3.85,7.31,11.32,4.04,8.43,8.95,10.90,9.08,4.47,4.26,4.34,0.00
7.36,3.73,4.76,4.72,4.42,5.83,9.09,4.07,12.72,3.80,4.62,4.88,3.81,5.76,7.10,4.30,4.84,4.89,9.51,10.00,5.19,8.80,5.37,4.86,3.87,8.96,9.85,8.28,12.96,3.85,4.14,3.72,4.22,7.18,5.20,7.66,8.44,7.63,7.19,9.06,0.00
5.19,3.97,4.15,6.04,9.40,5.05,6.22,3.63,4.57,3.78,4.76,4.27,3.67,4.95,8.70,10.20,4.28,3.49,10.25,8.60,4.57,4.08,7.17,4.64,4.39,6.25,9.81,5.49,9.11,4.04,7.95,3.66,4.00,11.60,8.69,11.32,7.90,6.69,5.82,4.65,0.00
7.23,7.74,6.29,8.38,10.98,9.23,5.30,4.43,9.18,3.80,11.21,4.75,3.76,5.90,7.14,5.61,3.95,5.61,10.88,5.29,4.23,5.54,4.93,5.52,3.71,9.15,9.79,5.76,4.18,3.84,10.27,3.79,3.84,9.31,9.23,11.94,10.18,5.35,6.27,10.62,0.00
7.74,6.39,3.88,6.02,4.85,9.45,4.39,4.01,6.67,3.66,7.54,4.98,3.70,4.29,5.69,4.60,4.00,3.63,10.57,5.40,5.99,4.55,5.77,4.60,3.72,8.43,9.74,4.13,5.35,3.91,5.75,3.62,4.08,7.12,8.91,9.92,9.00,4.87,4.87,5.12,0.00
5.67,6.54,3.77,8.42,10.68,4.25,5.36,3.83,4.20,3.65,5.35,5.39,3.82,4.33,7.01,5.80,4.16,8.36,11.57,7.06,4.90,3.99,6.93,4.86,4.00,7.66,5.98,4.12,4.09,4.06,5.28,3.84,3.73,8.87,10.00,10.73,9.46,8.13,3.87,4.31,0.00
5.10,7.95,3.97,9.23,10.86,4.43,5.93,4.67,4.31,3.56,8.92,5.47,4.01,6.61,6.79,5.77,4.00,4.02,11.30,4.80,4.65,3.94,4.95,4.58,4.13,6.62,9.96,3.98,4.24,4.04,8.06,8.05,4.22,9.31,9.64,4.46,7.86,8.02,3.73,7.83,0.00
5.94,7.28,5.60,9.52,10.60,4.51,8.21,3.55,4.14,4.04,6.66,5.10,3.96,5.89,4.22,5.82,4.03,3.42,11.66,5.03,4.34,8.47,4.78,4.21,5.04,9.27,9.15,6.84,3.98,4.14,9.65,9.33,4.34,7.32,9.57,10.18,8.63,3.94,5.08,4.53,0.00
5.97,10.65,7.29,4.51,11.72,6.77,4.34,3.66,5.47,3.68,6.81,6.12,3.60,3.86,8.85,13.70,4.06,3.72,11.57,5.82,3.97,4.66,4.86,5.14,4.21,8.13,8.75,9.55,6.45,3.94,9.14,3.72,4.24,8.88,10.24,10.91,6.56,6.92,8.20,4.78,1.00
7.51,8.50,6.19,13.31,10.88,4.59,4.52,3.67,3.98,3.61,5.10,5.92,3.71,8.49,6.80,4.03,4.17,3.51,10.61,4.55,4.53,4.16,5.63,5.13,3.69,8.25,9.21,8.68,3.95,3.86,11.48,3.69,4.20,9.93,9.94,11.00,9.38,6.72,9.49,4.17,1.00
7.84,5.58,3.67,4.67,11.50,4.59,6.64,3.88,10.45,10.70,6.12,5.16,3.55,6.08,4.19,4.45,3.98,11.52,10.01,4.52,5.40,5.38,5.86,4.22,3.97,8.70,9.98,3.94,3.99,4.10,12.42,3.69,3.88,8.13,9.50,11.11,8.64,6.57,6.07,4.62,0.00
5.84,8.30,3.95,4.66,10.57,4.22,8.20,4.02,7.54,3.55,10.44,4.98,3.67,7.97,8.92,4.15,4.08,5.93,9.94,4.59,9.61,4.28,5.27,4.73,6.52,8.22,8.52,5.22,4.88,3.85,9.52,3.56,7.26,10.02,9.84,10.19,8.21,6.64,6.61,4.43,0.00
9.23,8.19,6.15,5.64,11.05,8.64,6.44,3.60,9.93,3.58,5.90,5.03,8.48,4.65,10.73,4.34,4.12,3.91,10.90,4.71,4.51,4.22,4.53,5.27,4.69,9.43,8.85,6.90,8.75,5.42,10.10,10.75,4.68,9.74,8.64,9.23,8.14,6.71,5.35,7.58,1.00
7.76,6.57,4.96,4.57,8.17,9.44,8.27,3.65,8.72,3.26,4.41,4.90,3.82,7.48,7.04,4.46,5.61,4.88,10.66,4.63,6.01,6.48,4.71,10.29,3.69,8.95,9.36,4.26,4.80,3.80,11.31,3.81,8.86,9.01,8.68,10.88,8.47,5.65,7.53,4.73,0.00
8.45,4.70,6.55,5.05,8.33,4.64,8.41,3.72,9.11,4.12,5.14,4.76,3.74,9.00,10.55,4.64,7.86,3.48,12.26,4.52,10.25,4.77,3.91,9.15,4.13,8.26,4.60,4.30,5.24,3.83,10.62,3.78,8.79,10.17,5.41,12.06,7.22,4.83,7.36,4.08,0.00
7.61,3.77,3.88,7.85,10.43,12.64,8.54,3.88,8.79,3.69,6.87,4.68,5.72,7.62,9.41,10.11,4.52,9.33,10.72,4.39,4.02,4.10,5.15,5.39,3.82,8.52,10.40,4.28,5.59,3.93,7.96,9.18,8.77,8.32,7.91,4.08,8.32,6.36,7.66,6.76,0.00
7.01,6.34,4.06,5.86,9.99,4.80,7.18,3.84,4.26,3.69,4.35,4.87,5.10,6.96,9.17,4.01,4.48,8.09,10.77,5.07,4.13,8.71,8.27,5.43,4.06,10.41,9.34,7.60,5.07,3.85,11.07,3.60,4.07,8.90,8.46,9.98,8.46,5.72,7.74,4.77,1.00
5.63,6.22,4.25,4.50,9.95,4.72,4.41,3.97,4.68,3.79,6.49,5.27,5.40,8.71,7.26,5.01,4.11,3.82,10.46,5.74,4.26,6.38,6.77,4.71,4.27,8.67,9.49,4.88,4.74,4.03,13.04,3.80,10.76,9.74,8.58,10.32,8.86,4.81,6.58,4.26,0.00
7.38,5.37,4.63,5.21,11.02,5.06,7.33,3.68,5.93,3.61,4.71,5.90,3.96,9.34,7.50,5.72,5.33,6.88,11.07,4.68,4.79,5.84,6.10,7.71,4.08,7.33,9.69,4.22,4.70,3.94,11.63,3.83,4.76,10.11,8.66,11.40,8.50,7.10,6.44,4.26,0.00
6.11,4.97,4.52,5.58,9.93,12.03,6.80,3.83,7.02,3.79,4.66,4.51,7.84,5.83,8.08,10.06,4.33,6.88,9.96,7.62,4.53,3.82,7.41,4.05,7.07,8.55,9.18,4.12,4.65,4.10,8.41,4.49,4.11,7.41,8.07,10.03,8.34,6.10,5.49,5.36,0.00
6.68,3.57,3.63,9.07,11.26,5.02,6.93,3.82,4.19,3.97,8.86,4.98,8.30,5.32,7.41,8.67,3.93,3.99,10.93,4.43,7.40,9.14,5.77,5.27,8.91,8.71,5.14,9.48,4.60,4.17,10.64,11.74,3.97,9.18,9.57,10.52,9.42,9.13,5.96,5.90,1.00
5.77,3.95,7.39,6.96,11.01,4.92,4.30,3.83,8.74,3.78,8.33,4.87,3.65,6.42,9.77,4.25,4.21,3.38,7.56,4.46,4.22,3.84,4.17,5.36,4.05,8.76,9.60,7.57,8.07,3.99,9.21,3.78,4.80,9.23,9.11,4.15,7.50,7.91,5.72,7.45,1.00
7.40,7.41,3.82,5.49,9.86,4.24,4.72,7.27,4.23,3.70,4.39,5.01,3.89,9.42,4.23,4.43,4.33,4.23,7.40,8.41,4.19,4.13,5.91,4.65,4.04,10.05,8.83,4.36,4.29,7.39,7.10,3.97,4.13,7.02,9.12,9.41,9.05,3.26,3.78,4.43,0.00
6.02,4.05,3.71,6.14,8.14,8.07,6.78,3.88,6.89,3.71,5.26,4.96,3.82,6.57,10.29,4.25,4.03,9.19,10.20,4.64,4.17,4.01,4.25,4.06,4.33,9.06,9.50,4.24,7.13,4.50,8.56,4.06,4.96,7.90,8.23,9.72,8.90,9.02,3.83,6.72,0.00
7.32,6.01,3.72,7.05,11.22,3.99,4.54,4.04,9.28,4.29,12.15,4.81,3.67,6.09,9.64,3.98,4.02,7.51,9.33,4.50,4.64,3.96,4.44,5.00,3.49,7.57,10.70,4.32,9.93,4.51,8.10,7.01,4.11,9.33,9.62,10.74,9.21,7.93,4.96,5.72,0.00
