ENSG00000075213,ENSG00000114771,ENSG00000112137,ENSG00000185022,ENSG00000115461,ENSG00000221968,ENSG00000152952,ENSG00000087253,ENSG00000101311,ENSG00000151692
7.89,3.69,3.80,8.63,5.04,8.92,10.54,4.21,7.54,5.96,0.00
9.28,8.47,5.43,12.89,4.89,6.61,12.27,7.41,8.12,7.50,1.00
5.50,3.92,5.66,9.39,4.67,8.62,11.48,4.29,7.49,7.66,0.00
5.23,4.99,4.19,9.45,4.63,9.49,10.51,6.94,7.18,7.51,0.00
3.87,3.91,3.80,8.36,3.94,8.74,10.27,4.63,8.08,7.42,0.00
7.59,4.15,3.80,10.06,3.95,6.50,7.93,4.41,5.35,4.31,1.00
7.33,3.57,5.28,10.31,4.46,8.61,9.20,8.12,8.39,7.98,1.00
5.69,8.27,3.62,8.61,4.23,8.15,11.69,7.22,8.40,6.63,1.00
7.09,3.87,3.96,7.43,4.59,8.42,9.20,6.60,5.33,7.12,0.00
4.59,4.36,3.92,9.94,7.25,7.54,9.61,6.64,7.09,6.43,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4.51,4.06,10.57,5.50,4.03,10.09,3.86,4.60,4.90,4.07,0.00
4.50,3.92,8.05,5.35,4.25,9.29,3.87,4.45,4.98,4.78,0.00
4.33,3.88,3.58,9.23,10.24,7.22,9.40,8.23,8.14,3.87,0.00
3.95,4.00,4.03,6.36,9.94,7.10,7.65,4.24,4.87,7.41,0.00
5.01,3.69,3.83,10.85,4.30,7.22,9.93,6.59,6.76,7.22,0.00
7.03,3.88,10.60,12.73,8.94,8.34,10.71,9.07,4.98,8.33,1.00
5.21,3.76,3.63,10.73,3.77,9.31,11.77,7.77,5.26,6.40,0.00
9.30,4.95,3.69,9.23,8.66,6.64,9.16,7.19,7.92,5.45,1.00
4.52,4.26,4.21,6.85,10.65,6.28,8.06,6.70,4.81,5.73,0.00
9.13,4.00,3.64,10.55,4.09,7.05,7.52,9.71,10.65,3.70,1.00
8.55,3.60,5.46,9.98,5.32,7.86,11.51,7.17,5.27,7.16,0.00
5.83,3.96,3.68,9.99,4.52,7.93,6.72,4.61,6.50,6.04,1.00
4.55,4.21,6.38,7.94,4.19,7.22,3.55,4.53,5.24,5.47,0.00
5.40,3.87,3.72,9.52,4.20,5.58,5.73,7.43,11.58,3.88,1.00
4.53,3.95,4.20,8.35,4.09,5.36,7.80,6.59,11.85,4.53,1.00
5.27,3.86,7.08,7.13,4.11,6.53,10.03,7.19,9.82,8.16,0.00
10.31,3.70,3.93,8.60,4.21,6.55,8.72,8.08,8.60,7.56,1.00
6.32,4.00,10.18,10.43,5.46,7.62,9.61,8.44,5.05,9.53,1.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6.93,4.17,3.99,10.07,4.05,7.35,7.31,4.51,10.00,4.06,0.00
7.62,4.08,9.15,9.45,4.62,8.21,9.99,6.84,4.91,7.64,0.00
6.28,3.50,5.21,9.46,4.79,6.69,10.21,4.62,6.51,7.83,0.00
9.00,3.75,4.27,8.51,4.13,7.97,4.17,5.33,5.39,7.14,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4.40,3.92,4.15,9.58,4.23,7.46,3.81,5.82,8.68,7.88,1.00
5.44,4.25,8.27,6.94,4.18,9.95,4.15,4.72,4.64,4.73,0.00
10.43,9.76,3.92,9.79,4.02,7.74,9.24,6.22,10.48,4.25,1.00
4.45,3.88,3.70,5.58,10.18,7.55,10.11,5.46,6.43,5.60,0.00
4.89,3.92,10.31,6.76,4.05,4.81,5.32,9.06,4.93,7.59,1.00
4.42,3.93,3.76,10.07,4.10,9.11,4.06,5.78,5.07,7.35,0.00
8.57,4.30,7.74,11.81,4.03,6.18,12.12,6.43,9.25,3.84,1.00
4.07,4.23,8.55,9.82,4.04,6.54,10.31,7.98,7.14,9.46,1.00
5.49,3.66,10.88,12.99,3.89,7.59,8.50,6.86,7.38,9.65,1.00
5.12,4.18,6.25,9.29,8.04,8.03,3.56,4.46,7.77,5.34,0.00
5.34,3.58,5.32,11.14,3.83,8.50,10.32,5.43,7.34,6.81,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7.04,6.31,4.16,10.54,4.34,10.09,12.04,7.02,5.61,6.13,0.00
8.98,4.61,5.21,9.99,8.31,9.21,11.71,5.34,5.19,6.97,0.00
4.46,3.73,4.00,9.19,4.84,7.08,6.75,4.47,8.03,9.22,0.00
6.93,3.70,3.87,9.69,5.67,8.80,10.17,6.31,6.02,7.78,0.00
5.17,3.66,3.55,10.76,4.28,7.14,10.20,5.75,8.21,7.36,0.00
7.90,4.12,4.10,8.88,4.25,7.12,6.47,7.03,10.97,5.27,1.00
7.99,4.18,3.66,10.27,4.00,6.08,11.38,6.97,9.68,6.32,0.00
6.13,6.47,3.75,9.54,4.14,8.19,8.25,6.22,9.45,7.15,1.00
8.86,4.09,4.45,9.89,3.95,6.24,8.50,7.84,9.13,6.47,1.00
8.50,3.84,3.68,10.87,4.41,7.60,8.56,9.08,7.10,6.76,1.00
4.39,3.81,3.86,10.30,4.16,7.74,3.81,4.56,8.46,6.90,1.00
4.50,3.95,4.05,10.78,4.00,9.69,12.56,7.59,9.38,7.44,0.00
4.70,3.52,4.10,8.45,4.03,8.02,8.02,4.45,4.95,8.15,0.00
4.58,3.77,8.74,9.91,8.73,6.70,8.75,8.07,7.47,9.59,0.00
4.41,5.60,4.04,9.66,4.17,7.29,11.14,6.33,9.49,8.07,1.00
7.82,3.85,4.20,5.37,5.63,7.22,9.32,5.15,8.92,6.83,0.00
4.37,3.93,3.86,5.36,4.33,5.73,3.90,4.51,7.17,4.26,0.00
9.30,3.87,3.85,10.61,4.37,6.73,9.16,5.34,12.18,6.69,1.00
6.69,4.06,3.80,10.75,4.12,7.35,9.23,5.54,9.92,4.29,1.00
8.11,3.58,3.47,11.29,5.61,8.54,10.25,7.23,7.21,4.41,0.00
9.21,4.09,5.94,10.31,8.41,8.43,11.75,6.60,6.73,7.23,0.00
7.33,4.69,3.63,10.84,8.49,9.52,11.20,6.71,4.74,6.10,0.00
6.65,7.61,3.71,11.15,4.52,5.60,9.60,5.18,10.09,4.59,1.00
5.30,3.64,9.17,13.25,4.11,5.48,9.15,8.00,6.42,9.51,1.00
6.72,3.86,11.41,10.68,5.33,7.69,9.65,9.83,5.22,9.17,1.00
6.61,3.90,10.19,10.82,7.82,7.89,9.64,7.85,6.66,8.51,1.00
7.99,5.56,3.84,9.83,4.33,9.23,10.58,8.42,10.63,4.21,0.00
7.12,3.90,9.84,11.84,5.08,8.03,10.90,8.98,5.25,8.73,1.00
6.69,7.22,3.86,9.78,4.21,7.53,8.87,8.52,11.09,4.55,1.00
4.95,12.18,3.90,9.33,5.08,8.21,10.39,4.82,8.73,4.23,0.00
9.00,4.81,3.93,11.33,4.44,7.42,8.68,8.06,8.93,4.73,1.00
4.45,3.84,4.35,8.81,4.10,6.19,3.80,4.38,6.40,8.84,1.00
4.60,3.82,11.83,12.10,4.15,7.67,7.17,8.37,5.55,9.63,1.00
4.34,7.25,3.86,9.05,4.04,5.27,3.66,7.12,9.32,6.75,1.00
5.75,3.90,9.95,11.71,3.94,7.97,7.72,8.70,4.98,8.96,1.00
3.98,3.74,9.41,9.75,4.11,8.24,10.90,5.58,6.51,5.34,0.00
5.46,6.89,4.70,11.94,4.37,8.85,10.72,7.65,6.58,4.38,0.00
7.50,3.79,3.89,10.96,4.74,7.50,8.28,5.84,6.60,6.58,0.00
4.40,3.98,10.83,4.53,4.28,10.21,3.73,4.23,5.67,5.19,0.00
4.24,3.78,4.89,7.65,4.02,7.95,3.75,5.24,4.92,8.89,0.00
5.06,4.31,9.25,9.14,4.00,5.67,9.39,4.50,4.79,6.01,1.00
4.23,3.73,10.13,10.02,4.08,8.30,9.26,8.24,6.09,9.21,1.00
4.43,3.70,10.07,6.77,3.96,5.48,3.91,4.65,7.80,5.09,1.00
5.50,4.02,8.25,7.25,3.94,6.84,7.83,8.48,8.78,8.77,1.00
5.32,3.86,7.99,6.19,4.20,7.60,4.17,4.65,4.96,5.43,0.00
4.52,4.32,10.34,7.49,4.05,5.70,8.71,9.45,4.57,9.38,1.00
6.41,4.07,4.85,8.45,4.19,5.31,3.95,4.49,7.81,7.72,1.00
6.07,4.18,3.81,7.54,4.25,7.46,9.47,7.14,7.85,6.36,0.00
10.66,3.49,3.48,7.61,8.83,7.88,10.02,4.15,5.01,4.01,0.00
4.26,4.21,9.81,8.63,4.03,4.90,7.25,10.43,6.70,8.79,1.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9.81,4.78,3.53,10.41,3.97,5.91,6.68,8.91,9.64,4.34,1.00
7.01,3.93,6.37,9.36,4.43,8.27,10.93,8.67,7.43,8.34,1.00
4.35,4.01,8.30,7.76,4.15,8.05,5.96,7.06,8.37,9.23,1.00
9.18,3.89,3.96,11.55,4.08,9.93,9.10,8.83,10.14,3.98,0.00
6.87,4.15,4.28,8.75,4.35,7.88,9.46,8.72,9.72,4.22,0.00
10.02,4.16,3.86,11.30,4.33,7.91,6.66,8.39,9.18,4.13,1.00
6.63,4.10,3.57,10.13,4.70,9.24,10.10,7.21,9.00,4.55,0.00
5.08,4.20,3.89,4.51,4.07,7.10,3.89,4.80,5.24,4.43,0.00
4.26,5.52,4.19,10.53,3.95,8.75,11.18,8.72,5.85,6.49,0.00
8.52,4.21,4.30,8.61,10.30,8.41,11.15,4.41,6.37,4.72,0.00
7.39,4.02,4.02,10.20,4.32,10.54,12.05,7.85,8.20,5.90,0.00
6.73,4.69,3.72,9.97,3.92,6.98,7.63,6.89,11.64,4.21,1.00
8.10,8.63,4.50,9.10,3.97,6.24,3.80,9.00,10.39,4.57,1.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6.87,3.88,10.59,11.98,6.62,8.85,7.84,7.35,4.74,9.42,1.00
4.58,4.25,9.62,7.41,4.24,7.39,3.62,4.11,5.27,4.70,0.00
4.69,3.96,4.07,5.85,4.89,8.15,10.32,5.60,5.30,4.29,0.00
4.38,4.37,4.04,9.79,10.60,7.57,9.46,8.56,5.99,4.66,0.00
6.50,4.54,6.11,12.11,4.03,8.70,10.53,10.61,5.80,7.44,1.00
4.53,3.58,8.86,9.81,5.57,8.15,5.56,5.76,7.56,9.25,1.00
4.67,3.80,10.66,12.75,4.11,7.13,9.47,7.08,5.37,9.90,1.00
4.44,3.92,3.99,9.22,5.19,7.64,4.07,4.51,5.10,5.64,0.00
5.89,3.91,3.74,6.48,4.06,7.71,5.43,4.68,8.34,7.31,0.00
7.70,3.88,3.61,10.64,4.02,8.48,11.40,4.29,5.61,5.41,0.00
6.86,3.78,3.72,9.59,5.31,6.55,8.71,5.09,6.13,8.81,1.00
10.60,3.68,3.77,9.13,4.12,7.62,5.93,4.36,9.10,7.03,1.00
4.06,4.10,10.04,5.84,4.03,9.32,3.69,4.47,4.88,7.13,0.00
5.55,3.74,3.99,7.20,4.47,7.17,3.69,4.43,5.72,4.27,0.00
4.91,3.54,6.51,7.60,8.62,8.64,11.72,7.55,5.11,4.35,0.00
5.09,3.75,5.56,9.06,3.96,5.81,3.80,7.46,5.11,6.00,1.00
4.35,4.02,3.91,10.35,4.41,7.77,8.41,4.60,8.35,6.35,0.00
4.07,5.22,4.89,10.19,7.47,9.46,10.82,6.37,7.67,5.08,0.00
4.61,3.91,6.15,8.52,4.71,6.74,10.24,6.10,7.94,8.99,0.00
5.56,3.59,7.26,8.48,8.10,5.32,7.89,4.53,5.78,7.42,0.00
4.71,3.82,8.27,7.08,5.15,6.18,7.74,5.51,4.87,8.84,0.00
7.44,4.01,5.87,8.47,6.13,7.54,9.27,4.36,8.87,7.24,0.00
7.73,7.19,4.05,9.69,4.72,7.90,11.12,7.14,9.68,7.18,1.00
7.09,4.94,3.81,10.44,4.16,7.77,10.64,4.54,10.54,4.45,0.00
5.26,3.79,3.35,8.14,9.35,8.04,12.98,6.73,8.52,6.74,0.00
6.50,3.85,3.73,9.77,4.07,8.80,11.70,7.51,7.75,6.06,0.00
5.24,4.07,4.56,10.22,4.32,8.03,10.67,7.32,6.50,7.03,0.00
7.07,5.18,3.94,10.25,3.96,9.06,10.07,9.15,11.44,4.24,1.00
5.33,3.77,3.80,8.51,4.31,5.53,7.89,4.41,5.09,9.78,0.00
7.92,8.75,3.72,10.70,3.92,8.24,9.21,5.78,9.65,7.77,1.00
8.79,4.38,3.91,9.93,4.26,7.00,9.77,6.71,9.19,6.39,1.00
8.12,8.98,3.98,9.60,4.02,6.76,8.59,6.48,9.96,7.01,1.00
5.66,3.96,4.31,8.53,3.96,5.10,7.76,5.60,9.91,4.35,0.00
7.55,3.58,4.12,8.36,8.02,7.26,11.66,4.69,4.82,4.55,0.00
8.28,4.07,3.78,10.29,3.89,6.71,7.20,6.74,8.48,5.42,1.00
8.10,3.58,4.35,10.10,3.93,6.17,9.28,7.58,10.80,4.95,1.00
8.85,3.91,3.82,8.28,4.14,5.86,10.34,8.70,10.19,6.31,1.00
4.30,3.97,4.33,7.91,5.68,7.18,8.94,6.12,10.13,7.27,0.00
9.64,6.01,3.56,11.30,4.01,7.74,11.78,7.35,8.57,8.32,0.00
10.28,3.86,3.94,9.62,3.94,8.53,7.77,6.89,5.07,4.42,0.00
8.62,4.23,3.90,10.64,4.01,7.94,8.72,8.90,9.39,6.75,1.00
4.70,4.03,4.43,8.29,5.11,5.16,8.73,4.10,4.84,4.57,0.00
4.50,4.70,8.64,8.79,4.08,5.73,8.48,8.31,5.42,6.86,1.00
4.62,8.81,4.06,11.03,4.27,7.73,4.08,6.82,10.96,5.33,1.00
4.54,3.88,6.12,9.75,4.19,8.01,10.38,7.35,8.82,7.28,0.00
4.10,3.87,4.31,10.63,4.04,8.11,11.23,7.58,8.77,7.10,0.00
4.31,3.97,5.10,10.42,4.05,8.01,10.87,7.29,9.10,7.10,0.00
5.23,3.95,6.53,8.05,3.96,5.08,3.80,9.18,8.31,8.67,1.00
4.52,3.96,8.35,7.56,4.06,6.03,8.02,10.00,6.29,9.23,1.00
4.77,4.45,4.15,8.18,4.26,7.54,3.95,4.39,5.20,4.05,0.00
7.77,4.49,4.03,9.19,4.30,5.24,3.62,4.38,11.27,6.57,1.00
10.13,8.63,3.79,9.10,4.90,9.41,10.37,4.45,9.88,4.86,1.00
7.61,9.64,4.55,9.16,3.96,6.62,9.91,4.50,5.76,6.95,1.00
4.59,3.98,3.83,11.01,4.20,8.42,3.93,4.49,7.71,5.37,0.00
4.90,4.11,3.95,10.45,4.18,9.25,11.07,4.52,6.56,4.32,0.00
7.32,4.05,8.54,8.42,4.14,6.42,3.87,9.05,7.71,8.68,1.00
4.94,3.90,7.71,7.55,4.26,9.51,4.09,4.67,5.05,4.43,0.00
7.80,10.65,3.63,11.42,4.08,6.31,10.30,9.68,9.77,4.47,1.00
6.65,7.28,3.78,10.78,3.98,8.36,5.78,7.81,9.56,5.20,1.00
7.90,3.67,3.84,9.85,5.99,8.21,11.44,4.90,9.89,7.34,0.00
9.83,6.64,4.05,10.31,4.12,9.09,10.11,9.61,7.96,7.93,1.00
8.88,3.81,5.07,10.50,4.41,6.87,8.08,6.77,7.40,7.82,1.00
4.41,4.16,7.96,6.96,4.25,8.48,3.69,4.50,4.74,4.19,0.00
4.78,3.57,7.67,6.45,3.98,8.00,3.81,4.38,5.11,7.33,0.00
7.74,7.92,3.85,10.06,4.99,8.06,10.82,7.62,7.15,7.07,0.00
7.63,4.34,4.35,10.14,4.17,8.11,3.56,5.85,9.20,6.40,1.00
4.85,3.76,3.42,10.00,5.03,7.99,3.76,5.72,9.02,7.35,1.00
4.48,3.70,4.61,5.09,3.89,6.15,3.66,6.20,5.22,8.46,0.00
5.40,8.75,3.91,10.56,4.11,6.91,8.78,9.83,10.46,5.58,1.00
5.06,4.20,10.95,12.11,5.21,7.76,10.42,9.74,5.00,9.57,1.00
6.11,3.87,6.18,7.63,5.25,8.13,11.27,4.34,6.46,5.77,0.00
9.94,7.12,3.93,9.24,8.48,8.03,10.97,6.05,7.69,4.28,0.00
4.52,7.20,3.80,11.69,4.84,9.02,3.73,6.54,5.57,4.53,0.00
6.55,3.73,3.72,10.13,8.66,5.83,10.19,4.45,8.74,9.34,0.00
4.12,4.09,6.63,8.19,4.07,6.05,4.33,8.35,6.69,4.65,1.00
4.01,3.82,8.03,9.06,4.34,5.39,3.55,4.82,4.70,9.12,1.00
6.71,4.08,3.85,7.55,4.69,8.67,8.60,5.82,6.45,7.37,0.00
4.46,3.84,7.62,10.26,7.20,6.30,9.13,6.77,4.72,6.28,0.00
7.84,4.13,3.66,9.60,4.10,5.93,3.76,7.56,10.74,4.33,1.00
5.11,3.78,4.31,6.44,4.83,6.81,8.56,6.22,6.07,8.64,0.00
4.94,3.79,10.51,12.46,3.95,7.59,9.54,8.07,5.25,9.03,1.00
6.22,3.76,10.39,10.76,4.53,9.03,10.10,9.62,5.14,7.37,0.00
6.06,3.61,8.13,13.06,3.89,7.49,8.98,8.47,7.09,9.95,1.00
7.33,4.72,4.14,8.32,5.33,8.09,3.63,4.93,5.55,7.98,1.00
5.24,3.68,5.53,7.49,4.90,5.55,8.35,4.49,5.12,9.87,0.00
6.78,3.90,4.03,9.79,4.93,9.93,8.81,6.91,7.60,7.24,0.00
8.64,3.83,3.73,10.18,4.13,7.95,3.64,5.93,8.93,7.03,1.00
7.50,3.83,3.92,10.62,5.20,8.69,11.73,6.24,7.48,5.02,0.00
8.51,5.26,3.68,9.91,5.94,7.43,8.74,4.39,6.81,5.36,0.00
4.59,4.12,9.48,5.96,4.22,10.03,3.77,4.58,5.21,6.01,0.00
4.50,4.02,3.81,7.74,4.27,6.63,3.91,4.40,5.30,5.82,0.00
6.93,4.16,3.80,10.66,6.34,8.99,10.96,7.47,7.10,6.93,0.00
7.54,3.82,3.90,10.70,3.81,7.62,3.69,9.00,9.63,5.50,1.00
6.22,3.99,3.86,8.48,4.05,6.20,6.86,6.77,11.76,4.44,1.00
6.32,3.69,4.15,10.66,4.08,8.41,4.11,9.34,9.45,4.49,1.00
6.13,3.99,3.44,10.38,4.06,7.81,5.06,5.82,11.28,7.66,1.00
9.87,4.15,4.16,8.49,4.09,7.92,6.82,6.16,10.00,4.18,1.00
4.59,3.93,9.27,7.09,8.58,6.89,10.37,5.20,7.18,4.94,0.00
6.45,4.00,3.60,6.54,4.57,8.02,7.67,4.86,8.86,6.52,0.00
6.65,8.88,3.69,11.31,6.76,9.91,11.26,8.95,4.97,6.65,0.00
4.47,3.83,3.64,11.27,4.10,8.86,9.11,5.00,8.47,6.08,0.00
4.20,4.00,10.05,7.68,4.00,9.36,3.80,4.50,4.93,3.75,0.00
7.76,3.69,6.31,9.64,3.94,6.54,9.34,8.08,9.14,9.03,1.00
9.64,3.69,3.71,8.54,4.56,7.77,11.30,7.55,7.26,8.01,0.00
4.65,3.86,11.64,9.35,4.67,8.61,9.01,7.14,4.68,9.55,1.00
8.72,3.84,9.51,9.79,7.83,7.83,9.56,8.62,4.99,9.59,1.00
4.84,4.25,5.19,11.93,4.32,9.32,11.97,4.68,4.96,6.38,0.00
5.40,3.86,9.19,11.47,4.88,7.32,10.18,9.09,5.37,9.27,1.00
6.82,3.80,9.13,10.78,5.90,7.67,9.69,9.32,4.91,9.67,1.00
8.04,3.99,7.84,12.98,4.32,8.91,11.37,8.51,8.46,7.48,1.00
6.44,3.71,9.97,13.41,4.09,6.82,10.06,8.88,5.15,8.91,1.00
5.61,3.59,10.37,13.37,3.91,8.26,9.36,10.28,5.05,9.10,1.00
4.29,4.73,3.71,10.42,10.66,5.56,5.77,4.89,4.95,5.63,0.00
